id1,id2,id3,R2_N3_cv,R2_N3_fit
1,13,21,-1.405,0.589
1,13,22,-0.922,0.582
1,13,23,-0.846,0.618
1,13,24,-1.143,0.667
1,13,25,-1.06,0.788
1,13,26,-0.059,0.641
1,13,27,-4.064,0.485
1,13,28,-0.851,0.667
1,13,29,-1.201,0.496
1,13,30,-0.619,0.615
1,13,31,-0.847,0.596
1,14,15,-0.966,0.702
1,14,16,-2.199,0.675
1,14,17,-1.086,0.682
1,14,18,-2.235,0.456
1,14,19,-2.008,0.554
1,14,20,-1.829,0.735
1,14,21,-2.173,0.541
1,14,22,-2.051,0.544
1,14,23,-1.391,0.598
1,14,24,-1.395,0.655
1,14,25,-1.557,0.786
1,14,26,-0.38,0.73
1,14,27,-6.528,0.493
1,14,28,-1.644,0.644
1,14,29,-2.253,0.475
1,14,30,-1.623,0.579
1,14,31,-1.873,0.559
1,15,16,-0.538,0.677
1,15,17,-0.625,0.592
1,15,18,-0.847,0.586
1,15,19,-0.335,0.84
1,15,20,-0.537,0.787
1,15,21,-0.668,0.58
1,15,22,-0.659,0.58
1,15,23,-0.218,0.624
1,15,24,-0.554,0.749
1,15,25,-0.48,0.76
1,15,26,0.218,0.678
1,15,27,-3.716,0.586
1,15,28,-0.719,0.628
1,15,29,-0.589,0.595
1,15,30,-0.536,0.579
1,15,31,-0.6,0.58
1,16,17,-0.28,0.587
1,16,18,-1.392,0.551
1,16,19,-1.796,0.605
1,16,20,-0.808,0.69
1,16,21,-1.31,0.594
1,16,22,-1.195,0.608
1,16,23,-0.667,0.645
1,16,24,-0.912,0.836
1,16,25,-1.518,0.719
1,16,26,0.221,0.77
1,16,27,-4.612,0.536
1,16,28,-1.344,0.552
1,16,29,-1.316,0.52
1,16,30,-0.722,0.577
1,16,31,-0.959,0.574
1,17,18,-0.468,0.572
1,17,19,-0.351,0.788
1,17,20,-0.729,0.694
1,17,21,-0.576,0.538
1,17,22,-0.651,0.539
1,17,23,-0.472,0.57
1,17,24,-0.415,0.801
1,17,25,-0.349,0.721
1,17,26,0.434,0.708
1,17,27,-4.388,0.539
1,17,28,-0.798,0.589
1,17,29,-0.573,0.541
1,17,30,-0.305,0.534
1,17,31,-0.502,0.534
1,18,19,-1.374,0.587
1,18,20,-0.827,0.774
1,18,21,-1.688,0.418
1,18,22,-1.819,0.419
1,18,23,-0.897,0.571
1,18,24,-1.017,0.671
1,18,25,-1.147,0.769
1,18,26,-0.133,0.606
1,18,27,-5.557,0.381
1,18,28,-1.36,0.543
1,18,29,-1.642,0.354
1,18,30,-1.287,0.434
1,18,31,-1.462,0.421
1,19,20,-1.231,0.687
1,19,21,-1.409,0.689
1,19,22,-1.095,0.693
1,19,23,-0.794,0.652
1,19,24,-1.322,0.631
1,19,25,-1.577,0.675
1,19,26,-0.002,0.798
1,19,27,-4.798,0.507
1,19,28,-1.52,0.625
1,19,29,-1.684,0.557
1,19,30,-0.913,0.718
1,19,31,-1.172,0.696
1,20,21,-0.981,0.744
1,20,22,-1.195,0.726
1,20,23,-1.105,0.694
1,20,24,-0.964,0.752
1,20,25,-1.274,0.734
1,20,26,-0.031,0.842
1,20,27,-3.625,0.658
1,20,28,-1.035,0.691
1,20,29,-0.942,0.748
1,20,30,-0.767,0.713
1,20,31,-0.865,0.712
1,21,22,-2.309,0.414
1,21,23,-0.852,0.55
1,21,24,-0.918,0.673
1,21,25,-1.06,0.707
1,21,26,-0.076,0.615
1,21,27,-5.856,0.433
1,21,28,-1.245,0.569
1,21,29,-1.551,0.417
1,21,30,-1.523,0.423
1,21,31,-1.716,0.415
1,22,23,-1.068,0.547
1,22,24,-0.936,0.649
1,22,25,-1.036,0.704
1,22,26,0.047,0.608
1,22,27,-5.419,0.419
1,22,28,-1.153,0.572
1,22,29,-2.562,0.414
1,22,30,-1.677,0.421
1,22,31,-1.594,0.409
1,23,24,-0.862,0.693
1,23,25,-0.965,0.675
1,23,26,0.332,0.7
1,23,27,-3.885,0.527
1,23,28,-0.635,0.635
1,23,29,-0.777,0.546
1,23,30,-0.472,0.54
1,23,31,-0.767,0.537
1,24,25,-1.058,0.738
1,24,26,-0.184,0.714
1,24,27,-2.07,0.619
1,24,28,-0.703,0.777
1,24,29,-1.283,0.635
1,24,30,-0.789,0.691
1,24,31,-0.897,0.677
1,25,26,0.128,0.79
1,25,27,-2.757,0.699
1,25,28,-1.23,0.689
1,25,29,-1.221,0.697
1,25,30,-0.907,0.685
1,25,31,-1.103,0.683
1,26,27,-1.236,0.609
1,26,28,0.308,0.783
1,26,29,0.013,0.623
1,26,30,0.196,0.618
1,26,31,0.211,0.615
1,27,28,-2.811,0.514
1,27,29,-8.04,0.317
1,27,30,-5.472,0.424
1,27,31,-5.732,0.41
1,28,29,-1.061,0.53
1,28,30,-0.924,0.542
1,28,31,-1.063,0.541
1,29,30,-0.937,0.43
1,29,31,-1.218,0.417
1,30,31,-0.819,0.464
2,3,4,-2.085,0.569
2,3,5,-2.625,0.542
2,3,6,-1.517,0.584
2,3,7,-2.462,0.637
2,3,8,-2.616,0.623
2,3,9,-2.335,0.554
2,3,10,-2.457,0.615
2,3,11,-1.632,0.567
2,3,12,-2.073,0.471
2,3,13,-1.461,0.473
2,3,14,-2.125,0.46
2,3,15,-1.348,0.698
2,3,16,-2.053,0.698
2,3,17,-1.155,0.714
