id1,id2,R2_N2_cv,R2_N2_fit
19,27,-3.206,0.438
19,28,-0.702,0.527
19,29,-1.476,0.524
19,30,-0.624,0.671
19,31,-0.809,0.649
20,21,-0.852,0.618
20,22,-1.569,0.599
20,23,-0.61,0.52
20,24,-0.442,0.571
20,25,-1.114,0.497
20,26,0.033,0.725
20,27,-3.084,0.511
20,28,-0.79,0.513
20,29,-1.392,0.686
20,30,-0.591,0.552
20,31,-0.663,0.554
21,22,-2.068,0.311
21,23,-0.451,0.463
21,24,-0.27,0.589
21,25,-0.812,0.568
21,26,-0.026,0.541
21,27,-5.39,0.385
21,28,-0.764,0.491
21,29,-1.103,0.347
21,30,-0.69,0.31
21,31,-0.814,0.309
22,23,-1.207,0.462
22,24,-0.472,0.556
22,25,-1.309,0.568
22,26,0.029,0.53
22,27,-5.9,0.364
22,28,-1.444,0.499
22,29,-3.516,0.352
22,30,-1.552,0.308
22,31,-1.458,0.307
23,24,-0.132,0.585
23,25,-0.563,0.492
23,26,0.332,0.634
23,27,-3.289,0.402
23,28,-0.341,0.545
23,29,-0.722,0.497
23,30,-0.18,0.434
23,31,-0.374,0.433
24,25,-0.315,0.562
24,26,0.272,0.622
24,27,-0.744,0.484
24,28,-0.138,0.689
24,29,-0.88,0.568
24,30,-0.115,0.598
24,31,-0.156,0.582
25,26,0.079,0.668
25,27,-2.63,0.45
25,28,-0.648,0.513
25,29,-1.374,0.602
25,30,-0.696,0.512
25,31,-0.786,0.513
26,27,-0.561,0.553
26,28,0.225,0.735
26,29,0.034,0.585
26,30,0.238,0.538
26,31,0.27,0.535
27,28,-1.688,0.407
27,29,-7.943,0.262
27,30,-5.034,0.338
27,31,-5.136,0.329
28,29,-0.861,0.467
28,30,-0.488,0.437
28,31,-0.712,0.439
29,30,-0.565,0.357
29,31,-0.799,0.347
30,31,-0.365,0.308
