2003,0.7,0.3,2.2,2,1.5,0.9,1.1,0.8,0.7,1.4,1,1,1.5,1.4,0.5,1.1,1.9,1.2,0.7,0.9,1,0.8,1,0.9,1,0.7,0.9,1.7
2004,0.5,0.3,1.3,3.3,1.3,1.4,1,1,1.2,1.8,1.1,0.9,2,1.5,0.3,1.4,1.4,1.3,0.7,1,1.5,1.3,1.1,1.1,1.2,0.7,1.7,1.6
2005,0.5,0.2,1.6,2.9,1.8,1.2,1,0.8,1,2,0.9,0.8,2.4,1.1,0.4,1.6,1.3,1.3,1,1.2,1.4,0.9,1,1.2,1.1,0.9,1.7,1.3
2006,0.2,0.2,1.6,2,0.8,0.8,0.7,0.7,1,1.4,1.3,1.1,2.2,1,0.5,1,1.2,1.1,1,0.8,1.1,0.7,1.1,1.2,0.9,1,1.4,1.7
2007,0.6,0.2,2,2.5,0.8,0.6,0.8,0.5,1,1.5,1.6,1,2.3,1,0.5,1.1,1.1,1.3,0.7,0.9,1,1.2,0.7,1.5,0.9,0.9,1.3,1.4
2008,0.5,0.2,1.4,2.4,0.7,0.6,0.8,0.7,0.9,1.5,1.1,1,2.1,0.8,0.7,1.7,1.2,1.3,0.9,0.9,1,1,1,1.4,1.1,0.9,1.4,1
2009,0.4,0.2,1.2,1.6,0.8,0.7,0.8,0.7,1,1.4,1.2,0.7,1.8,0.8,0.5,1.2,1.4,1.5,0.8,1.1,1,1.2,1,1.5,1.3,1,1.1,1.4
2010,0.7,0.3,1.9,1.8,0.9,0.8,1.1,0.6,1,1.7,1.3,1.2,1.8,1.1,0.5,1.5,1.5,1.2,0.8,0.9,1.1,1,1.3,1.4,1.2,1.6,1,1.1
2011,0.5,0.6,1.5,1.4,1.4,1,0.9,0.8,0.9,1.2,1.3,1.3,1.7,1.3,0.4,0.9,1.3,1.6,1.1,0.9,1.9,1.4,1.5,2,1,1.4,1.3,0.8
2012,0.4,0.5,1.3,1.5,1.2,0.9,0.8,0.2,1,0.9,1,1.2,1.7,0.8,0.5,0.5,0.8,1.5,0.8,0.9,1.6,1.7,1.1,1.3,1.2,1.1,1.3,0.4
2013,0.3,0.2,1.7,1.7,1.1,0.7,0.4,0.4,0.9,0.8,0.9,1.2,1.7,1,0.4,0.9,1.1,0.9,1.3,1.3,1.1,1.6,0.8,1.6,0.8,0.7,1,0.7
2014,0.3,0.2,0.7,1.6,0.3,0.7,0.5,0.2,0.5,0.4,0.8,0.6,1.1,0.6,0.4,0.9,0.7,1.1,1.1,0.9,0.8,0.8,0.7,0.4,1,0.4,0.6,0.6
